ReviewerName,ProviderName,DateVisited,ReviewDate,ReviewText,ReviewerNumReviews,ReviewType,ReviewHelpful,ReviewerLocationState,ReviewerAge,ReviewerPhotos,ReviewURL,ReviewerPoints,ClassType,ReviewPicture,ReviewNumPic,ReviewerNumHelpful,ReviewerLevelContrib,ReviewMobile,ReviewTitle,ReviewerLocationCity,ProviderLocation,ReviewerSince,PointsRate
eluper,92nd Street Y Tisch Center for the Arts,02/01,None found,"We visited for a very busy event. Kirsten Gillibrand interviewed Cory Booker. Even though there were loads of people there, the staff handled the crowds very well. The seats are bit tight, as most old theaters are, but it was a good experience.",212,Solo,,NY, 35-49 year old male ,44,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r350063391-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,22766,Dance,No,0,76,06,No,Great Program!,Albany,"1395 Lexington Ave , New York City , NY 10128", Apr 2009,4
srhahm,92nd Street Y Tisch Center for the Arts,02/01,None found,"Attended event in performance space. In lobby, saw signs for upcoming events & classes. Wish lived in area, could be busy every day.",102,Solo,,saratoga springs NY,No Age Found,,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r344515049-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,10374,Dance,No,0,24,06,No,"Lively bldg., great architecture & good programmng",,"1395 Lexington Ave , New York City , NY 10128", Jun 2005,4
Daisy B,92nd Street Y Tisch Center for the Arts,11/01,None found,"Gil Shaham is one of the best violinists in the world. His rendition of Bach was extraordinary. I found that the video presentation that was shown on the screen behind him a distraction. Far from adding anything to the performance, it was a source of annoyance. The pictures had nothing to do with the music and were mostly ugly to boot. Mr Shaham's playing does not need any enhancement to begin with and this show would not have enhanced anyone's performance. I can only assume that Mr. Shaham was being charitable in giving the person who prepared the video a chance to be seen.",36,Solo,,NY,No Age Found,,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r340089777-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,3703,Dance,No,0,18,04,No,Heavenly music,New York,"1395 Lexington Ave , New York City , NY 10128", Sep 2007,5
LukeUK_12,92nd Street Y Tisch Center for the Arts,05/01,None found,I had a great experience at 92nd Street Y when I had the pleasure of attending the event 'Richard Lewis in conversation with JB Smoove' back in May. The venue was intimate and the atmosphere relaxed. Coming from the UK and being a big fan of 'Curb Your Enthusiasm' it was a great experience to see these two comedians in revealing conversation. The next time I visit New York I will definitely check out the schedule and hopefully catch another event here.,60,Solo,,Manchester, 25-34 year old male ,123,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r328863413-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,10294,Dance,No,0,24,06,No,Special evening,,"1395 Lexington Ave , New York City , NY 10128", Dec 2010,5
Gloria L,92nd Street Y Tisch Center for the Arts,11/01,None found,"Was just at a lecture by Rabbi Lord Jonathan Sacks about his book ""Not in God's Name"". He is a brilliant and engaging speaker and it was an amazing talk. After his lecture, he had a sit-down with Eliza Griswold (a journalist) and then took questions from the audience. This is just one of many brilliant and entertaining speakers that the 92nd Street Y hosts. I always check their schedule for upcoming events.",122,Solo,,,No Age Found,20,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r325373740-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,12895,Dance,No,0,40,06,No,Amazing Lectures,,"1395 Lexington Ave , New York City , NY 10128", May 2013,5
shel29Brooklyn,92nd Street Y Tisch Center for the Arts,11/01,None found,"This is the first time I've been to this venue. It's beautiful, holds about 850 people, and the seats are comfortable. I sat in the balcony and was able to see Joan Osborne and Mavis Staples from my seat. They were great by the way.",44,Solo,,Brooklyn,No Age Found,1,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r324769128-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,4494,Dance,No,0,19,04,No,Beautiful Venue,,"1395 Lexington Ave , New York City , NY 10128", Jul 2011,4
Indiana C,92nd Street Y Tisch Center for the Arts,10/01,None found,The Emilio and Gloria Estefan Q&A lead by the fab Rita Moreno was purely amazing! It was great to see them all interact with each other and learning more about how their career's started was nice. Thumbs up to the 92nd Street Y for this one.,63,Solo,,New York,No Age Found,57,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r320478934-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,8078,Dance,No,0,18,05,No,On Your Feet!,New York City,"1395 Lexington Ave , New York City , NY 10128", Jun 2014,5
seanworc,92nd Street Y Tisch Center for the Arts,10/01,None found,"The 92nd Street Jewish Y is an historic Manhattan institution. It hosts a series of lectures, concerts, dances, talks, classes, and workouts in a large building on East 92nd Street. These events can range from hyper intellectual talks by world luminaries including Nobel Prize winners, to popular and classical music concerts, and foodie demonstrations among many others. We attended a lecture and discussion with two art world leaders that were stimulating, yet very funny at times. At the end of the year, we are going to attend a lecture on Picasso by John Richardson, who is the world's leading authority on Picasso. Whether you are a visitor or a local, please check out the program calendar; I bet that there will be a event or two of interest to you! The fees are very reasonable for such quality. Easy access from the 4, 5, or 6 trains.",257,Solo,,New York, 50-64 year old male ,,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r317299527-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,32864,Dance,No,0,154,06,No,"One of the great, small cultural resources In Manhattan",New York City,"1395 Lexington Ave , New York City , NY 10128", Nov 2012,4
sooz421,92nd Street Y Tisch Center for the Arts,03/01,03/30/16,"This excellent panel discussion introduced us to 92Y programs. It exceeded our expectations. All panel members were articulate, astute & passionate about their "" entrepreneur ship"". We subsequently signed up for two more programs.",3,Couples,,New Jersey,No Age Found,,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r360189248-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,301,Dance,No,0,1,01,No,.Social Entrepreneur ship in the Age of Atrocities,Kinnelon,"1395 Lexington Ave , New York City , NY 10128", Jun 2010,5
clongdog,92nd Street Y Tisch Center for the Arts,03/01,03/23/16,"The 92Y Harkness Dance Center offers an array of performances, classes, workshops and intensives. It is one of the premier presenting organizations in NYC due to its breadth and depth of dance/movement categories and techniques.",15,Couples,,New York,No Age Found,,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r357957338-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,1513,Dance,No,0,13,03,No,Harkness Dance Center,New York City,"1395 Lexington Ave , New York City , NY 10128", Feb 2014,5
eluper,92nd Street Y Tisch Center for the Arts,02/01,None found,"We visited for a very busy event. Kirsten Gillibrand interviewed Cory Booker. Even though there were loads of people there, the staff handled the crowds very well. The seats are bit tight, as most old theaters are, but it was a good experience.",212,Couples,,NY, 35-49 year old male ,44,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r350063391-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,22766,Dance,No,0,76,06,No,Great Program!,Albany,"1395 Lexington Ave , New York City , NY 10128", Apr 2009,4
srhahm,92nd Street Y Tisch Center for the Arts,02/01,None found,"Attended event in performance space. In lobby, saw signs for upcoming events & classes. Wish lived in area, could be busy every day.",102,Couples,,saratoga springs NY,No Age Found,,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r344515049-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,10374,Dance,No,0,24,06,No,"Lively bldg., great architecture & good programmng",,"1395 Lexington Ave , New York City , NY 10128", Jun 2005,4
Daisy B,92nd Street Y Tisch Center for the Arts,11/01,None found,"Gil Shaham is one of the best violinists in the world. His rendition of Bach was extraordinary. I found that the video presentation that was shown on the screen behind him a distraction. Far from adding anything to the performance, it was a source of annoyance. The pictures had nothing to do with the music and were mostly ugly to boot. Mr Shaham's playing does not need any enhancement to begin with and this show would not have enhanced anyone's performance. I can only assume that Mr. Shaham was being charitable in giving the person who prepared the video a chance to be seen.",36,Couples,,NY,No Age Found,,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r340089777-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,3703,Dance,No,0,18,04,No,Heavenly music,New York,"1395 Lexington Ave , New York City , NY 10128", Sep 2007,5
LukeUK_12,92nd Street Y Tisch Center for the Arts,05/01,None found,I had a great experience at 92nd Street Y when I had the pleasure of attending the event 'Richard Lewis in conversation with JB Smoove' back in May. The venue was intimate and the atmosphere relaxed. Coming from the UK and being a big fan of 'Curb Your Enthusiasm' it was a great experience to see these two comedians in revealing conversation. The next time I visit New York I will definitely check out the schedule and hopefully catch another event here.,60,Couples,,Manchester, 25-34 year old male ,123,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r328863413-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,10294,Dance,No,0,24,06,No,Special evening,,"1395 Lexington Ave , New York City , NY 10128", Dec 2010,5
Gloria L,92nd Street Y Tisch Center for the Arts,11/01,None found,"Was just at a lecture by Rabbi Lord Jonathan Sacks about his book ""Not in God's Name"". He is a brilliant and engaging speaker and it was an amazing talk. After his lecture, he had a sit-down with Eliza Griswold (a journalist) and then took questions from the audience. This is just one of many brilliant and entertaining speakers that the 92nd Street Y hosts. I always check their schedule for upcoming events.",122,Couples,,,No Age Found,20,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r325373740-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,12895,Dance,No,0,40,06,No,Amazing Lectures,,"1395 Lexington Ave , New York City , NY 10128", May 2013,5
shel29Brooklyn,92nd Street Y Tisch Center for the Arts,11/01,None found,"This is the first time I've been to this venue. It's beautiful, holds about 850 people, and the seats are comfortable. I sat in the balcony and was able to see Joan Osborne and Mavis Staples from my seat. They were great by the way.",44,Couples,,Brooklyn,No Age Found,1,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r324769128-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,4494,Dance,No,0,19,04,No,Beautiful Venue,,"1395 Lexington Ave , New York City , NY 10128", Jul 2011,4
Indiana C,92nd Street Y Tisch Center for the Arts,10/01,None found,The Emilio and Gloria Estefan Q&A lead by the fab Rita Moreno was purely amazing! It was great to see them all interact with each other and learning more about how their career's started was nice. Thumbs up to the 92nd Street Y for this one.,63,Couples,,New York,No Age Found,57,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r320478934-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,8078,Dance,No,0,18,05,No,On Your Feet!,New York City,"1395 Lexington Ave , New York City , NY 10128", Jun 2014,5
seanworc,92nd Street Y Tisch Center for the Arts,10/01,None found,"The 92nd Street Jewish Y is an historic Manhattan institution. It hosts a series of lectures, concerts, dances, talks, classes, and workouts in a large building on East 92nd Street. These events can range from hyper intellectual talks by world luminaries including Nobel Prize winners, to popular and classical music concerts, and foodie demonstrations among many others. We attended a lecture and discussion with two art world leaders that were stimulating, yet very funny at times. At the end of the year, we are going to attend a lecture on Picasso by John Richardson, who is the world's leading authority on Picasso. Whether you are a visitor or a local, please check out the program calendar; I bet that there will be a event or two of interest to you! The fees are very reasonable for such quality. Easy access from the 4, 5, or 6 trains.",257,Couples,,New York, 50-64 year old male ,,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r317299527-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,32864,Dance,No,0,154,06,No,"One of the great, small cultural resources In Manhattan",New York City,"1395 Lexington Ave , New York City , NY 10128", Nov 2012,4
Kristi H,Soul Cycle,07/01,None found,"I HAD to take a SC class while in NYC. It was my first time and it was fantastic. The staff made sure I knew what I was getting into, and the instructor helped me the entire time during the class itself. It was an hour of massive amounts of sweat but you cannot beat the energy! Afterwards I went to the shower facilities. This blew my mind. Maybe I am used to my normal gym but the showers were very private, provided soap, shampoo and conditioner. Hair dryers, hair spray, lotion, etc was all provided. I had a great experience here. & I loved that I could take the class, shower and put myself together to get back out and explore NYC. Thanks Soul Cycle, I'll be back!",36,Solo,,, ,2,https://www.tripadvisor.com//ShowUserReviews-g60763-d7051947-r295804134-Soul_Cycle-New_York_City_New_York.html#REVIEWS,3676,Dance,No,0,16,04,No,Amazing energy - even better locker room!,,"77th St and Amsterdam NYC , New York City , NY", Mar 2015,5
verypicky57,Soul Cycle,07/01,None found,On a visit last year my daughter treated me to this place. This time I treated my husband. We both loved it! There is nothing quite like the energy generated by this place!,74,Solo,,TX, 50-64 year old female ,,https://www.tripadvisor.com//ShowUserReviews-g60763-d7051947-r285175975-Soul_Cycle-New_York_City_New_York.html#REVIEWS,7421,Dance,No,0,16,05,No,My second visit and it was great!,Angleton,"77th St and Amsterdam NYC , New York City , NY", Mar 2009,5
Mandria C,Soul Cycle,03/01,None found,"We went to the 63rd studio, staff was amazing, Rachel was the instructor - fantastic, everyone was super helpful with instructions for us being new, amazing ride, would return again in a minute!!!",64,Solo,,NS, 35-49 year old female ,,https://www.tripadvisor.com//ShowUserReviews-g60763-d7051947-r262820629-Soul_Cycle-New_York_City_New_York.html#REVIEWS,6429,Dance,No,0,29,05,No,AMAZING RIDE!,Halifax,"77th St and Amsterdam NYC , New York City , NY", Jul 2012,5
J P,Soul Cycle,01/01,None found,"If you like spinning, you will love Soul Cycle. We went to the E63 location. It smelled clean and fresh, which was a surprise! They efficiently clean the bikes after each class and have a towel ready for you on the bike. It mixes weights in at the end, which really maximized the ride! If you want to burn some pizza off, take a class here! First time riders were cheaper, too.",27,Solo,,,No Age Found,2,https://www.tripadvisor.com//ShowUserReviews-g60763-d7051947-r250258712-Soul_Cycle-New_York_City_New_York.html#REVIEWS,2783,Dance,No,0,23,04,Yes,Best Workout,,"77th St and Amsterdam NYC , New York City , NY", Sep 2012,5
exeter95,Soul Cycle,01/01,None found,"If you are looking for a good workout, want something inspirational and only want to spend 45 minutes, this is the place to go. With several studios around NYC and for the price of 2 drinks, you can change your day and maybe even your life. I went every day on my business trip and couldn't say enough to recommend this cycling studio. Try it!!!",222,Solo,,New Hampshire, Female ,,https://www.tripadvisor.com//ShowUserReviews-g60763-d7051947-r248834465-Soul_Cycle-New_York_City_New_York.html#REVIEWS,22395,Dance,No,0,110,06,No,THE BEST WORKOUT/TIME EVER!,Dover,"77th St and Amsterdam NYC , New York City , NY", May 2009,5
Katrin S,Soul Cycle,08/01,None found,"Soul cycle is a spinning studio with various locations in NYC. They are all equally good if you love to spin. It's a lot of spin and a bit of dance on the bike along with the music. The early morning and evening classes get booked up fast. Although they are expanding nationally now, this is definitely a true NYC workout experience. (Note you can buy single classes or a pack of classes)",702,Solo,,New York, 35-49 year old female ,20,https://www.tripadvisor.com//ShowUserReviews-g60763-d7051947-r230938382-Soul_Cycle-New_York_City_New_York.html#REVIEWS,71300,Dance,No,0,285,06,Yes,"If you love to spin, take a soul class",New York City,"77th St and Amsterdam NYC , New York City , NY", Oct 2012,4
vigotheman8,Soul Cycle,08/01,None found,"I am a seasoned spinner but this was the next level up including the cycling shoes ( for us travelers) towels and sanitized bikes.. as well as 4 customer service reps helping us on a very busy Saturday. I am in a service (health care) industry and was very impressed with time and compassion they showed. The classes themselves and instructors were top notch with great bikes, music and motivational workouts.. I wish I lived in NYC as I would be there every day!!! I have purchased a pass so I and my college daughter can ride when I am down there. GREAT JOB soul cycle I KNEW it was for me",68,Solo,,Vermont,No Age Found,,https://www.tripadvisor.com//ShowUserReviews-g60763-d7051947-r225810261-Soul_Cycle-New_York_City_New_York.html#REVIEWS,6876,Dance,No,0,11,05,No,fantastic experience,Bennington,"77th St and Amsterdam NYC , New York City , NY", Jul 2012,5
Kristi H,Soul Cycle,07/01,None found,"I HAD to take a SC class while in NYC. It was my first time and it was fantastic. The staff made sure I knew what I was getting into, and the instructor helped me the entire time during the class itself. It was an hour of massive amounts of sweat but you cannot beat the energy! Afterwards I went to the shower facilities. This blew my mind. Maybe I am used to my normal gym but the showers were very private, provided soap, shampoo and conditioner. Hair dryers, hair spray, lotion, etc was all provided. I had a great experience here. & I loved that I could take the class, shower and put myself together to get back out and explore NYC. Thanks Soul Cycle, I'll be back!",36,Couples,,, ,2,https://www.tripadvisor.com//ShowUserReviews-g60763-d7051947-r295804134-Soul_Cycle-New_York_City_New_York.html#REVIEWS,3676,Dance,No,0,16,04,No,Amazing energy - even better locker room!,,"77th St and Amsterdam NYC , New York City , NY", Mar 2015,5
verypicky57,Soul Cycle,07/01,None found,On a visit last year my daughter treated me to this place. This time I treated my husband. We both loved it! There is nothing quite like the energy generated by this place!,74,Couples,,TX, 50-64 year old female ,,https://www.tripadvisor.com//ShowUserReviews-g60763-d7051947-r285175975-Soul_Cycle-New_York_City_New_York.html#REVIEWS,7421,Dance,No,0,16,05,No,My second visit and it was great!,Angleton,"77th St and Amsterdam NYC , New York City , NY", Mar 2009,5
Mandria C,Soul Cycle,03/01,None found,"We went to the 63rd studio, staff was amazing, Rachel was the instructor - fantastic, everyone was super helpful with instructions for us being new, amazing ride, would return again in a minute!!!",64,Couples,,NS, 35-49 year old female ,,https://www.tripadvisor.com//ShowUserReviews-g60763-d7051947-r262820629-Soul_Cycle-New_York_City_New_York.html#REVIEWS,6429,Dance,No,0,29,05,No,AMAZING RIDE!,Halifax,"77th St and Amsterdam NYC , New York City , NY", Jul 2012,5
J P,Soul Cycle,01/01,None found,"If you like spinning, you will love Soul Cycle. We went to the E63 location. It smelled clean and fresh, which was a surprise! They efficiently clean the bikes after each class and have a towel ready for you on the bike. It mixes weights in at the end, which really maximized the ride! If you want to burn some pizza off, take a class here! First time riders were cheaper, too.",27,Couples,,,No Age Found,2,https://www.tripadvisor.com//ShowUserReviews-g60763-d7051947-r250258712-Soul_Cycle-New_York_City_New_York.html#REVIEWS,2783,Dance,No,0,23,04,Yes,Best Workout,,"77th St and Amsterdam NYC , New York City , NY", Sep 2012,5
exeter95,Soul Cycle,01/01,None found,"If you are looking for a good workout, want something inspirational and only want to spend 45 minutes, this is the place to go. With several studios around NYC and for the price of 2 drinks, you can change your day and maybe even your life. I went every day on my business trip and couldn't say enough to recommend this cycling studio. Try it!!!",222,Couples,,New Hampshire, Female ,,https://www.tripadvisor.com//ShowUserReviews-g60763-d7051947-r248834465-Soul_Cycle-New_York_City_New_York.html#REVIEWS,22395,Dance,No,0,110,06,No,THE BEST WORKOUT/TIME EVER!,Dover,"77th St and Amsterdam NYC , New York City , NY", May 2009,5
Katrin S,Soul Cycle,08/01,None found,"Soul cycle is a spinning studio with various locations in NYC. They are all equally good if you love to spin. It's a lot of spin and a bit of dance on the bike along with the music. The early morning and evening classes get booked up fast. Although they are expanding nationally now, this is definitely a true NYC workout experience. (Note you can buy single classes or a pack of classes)",702,Couples,,New York, 35-49 year old female ,20,https://www.tripadvisor.com//ShowUserReviews-g60763-d7051947-r230938382-Soul_Cycle-New_York_City_New_York.html#REVIEWS,71300,Dance,No,0,285,06,Yes,"If you love to spin, take a soul class",New York City,"77th St and Amsterdam NYC , New York City , NY", Oct 2012,4
vigotheman8,Soul Cycle,08/01,None found,"I am a seasoned spinner but this was the next level up including the cycling shoes ( for us travelers) towels and sanitized bikes.. as well as 4 customer service reps helping us on a very busy Saturday. I am in a service (health care) industry and was very impressed with time and compassion they showed. The classes themselves and instructors were top notch with great bikes, music and motivational workouts.. I wish I lived in NYC as I would be there every day!!! I have purchased a pass so I and my college daughter can ride when I am down there. GREAT JOB soul cycle I KNEW it was for me",68,Couples,,Vermont,No Age Found,,https://www.tripadvisor.com//ShowUserReviews-g60763-d7051947-r225810261-Soul_Cycle-New_York_City_New_York.html#REVIEWS,6876,Dance,No,0,11,05,No,fantastic experience,Bennington,"77th St and Amsterdam NYC , New York City , NY", Jul 2012,5
