ProviderName,ReviewHelpful,ReviewerAge,ReviewNumPic,ReviewerLocationState,ReviewPicture,ReviewerNumHelpful,ReviewerLevelContrib,ProviderLocation,PointsRate,ReviewerName,ReviewURL,DateVisited,ReviewDate,ReviewText,ReviewType,ReviewerPhotos,ReviewerPoints,ClassType,ReviewerLocationCity,ReviewerGender,ReviewMobile,ReviewerSince,ReviewTitle
92nd Street Y Tisch Center for the Arts,,NA,0,Washington,No,5,04,"1395 Lexington Ave , New York City , NY 10128",5,SeattletheBest,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r179646051-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,10/01,10/03/13,"When we knew we would be in NYC I went to the 92nd St Y website to look at the programs offered. On the night we selected, there was a panel celebrating the 50th anniversary of the March on Washington. It was an outstanding evening because of who the panelists speaking were. They were all instrumental in making the march a success. Their later accomplishments only added to their stature. I looked at the other programs offered in October and if I lived in NYC it would be hard to choose which programs to go to in a given week because there are so many.",Group,0,0,Dance,Seattle,NA,No,0,A Great Asset
92nd Street Y Tisch Center for the Arts,,NA,0,New York,No,303,06,"1395 Lexington Ave , New York City , NY 10128",4,Allan S,https://www.tripadvisor.com//ShowUserReviews-g60763-d535066-r166752237-92nd_Street_Y_Tisch_Center_for_the_Arts-New_York_City_New_York.html#REVIEWS,06/01,07/08/13,"IT is possible to have a great night of music without having to ""cross the park"". The 92 street Y has a wonderful variety of music for each taste. I happen to like classical which does well with small ensembles in the 92 street space. The intimate auditorium is a good venue for this type of work.",Group,0,0,Dance,New York City,NA,No,0,A musical treat in the neighborhood.
New York City Ballet (NYCB),1,NA,0,NA,No,2,02,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",5,Alice S,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r295276261-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,06/01,08/03/15,"Whether you are a first-time tourist or long time subscriber, you will be in for a treat every time you see The New York City Ballet! The dancers are stellar and the repertory is vast including Balanchine, Robbins, Wheeldon, Peck and other new choreographers. This is a world-renowned dance Company, so make sure you include as part of your cultural experience in NY.",Solo,0,0,Dance,,NA,No,0,Premier Ballet Company
New York City Ballet (NYCB),,NA,0,Costa Rica,No,1,03,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",5,puravida643,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r292109974-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,12/01,07/24/15,"So enjoyed my first ballet at NYCB! The nutcracker was fantastic, hope to visit again soon!Lincoln center is such a beautiful spot and the ballet was magical, wonderful experience!",Solo,0,0,Dance,Jaco,NA,No,0,Wonderful!
New York City Ballet (NYCB),,NA,0,Australia,No,23,05,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",5,lady5000,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r273714322-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,05/01,05/21/15,"Tickets are much cheaper in comparison to Sydney so I took advantage of the opportunity to see a Triple Bill of modern ballets . The theatre, dancing and orchestra were superb. The audience is very appreciative of their efforts with several curtain calls. Very easy to access from the subway line 1. Worth walking around the Lincoln Centre complex beforehand and the fountain is lit up afterwards which is just gorgeous. Lots of TV and movies use it as a backdrop.",Solo,0,0,Dance,Sydney,NA,Yes,0,Fantastic if you like ballet.
New York City Ballet (NYCB),,NA,0,California,No,116,06,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",5,TennisBum P,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r246441091-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,12/01,12/29/14,"I saw the Nutcracker. You don't have to be a ballet fan to adore this ballet. It's the only ballet I've been to and the only one I wanted to go to. I loved it. Great music. Great story. Good for kids, adults, grand kids. It's Christmas. Only a grinch couldn't love this.",Solo,0,0,Dance,Aptos,NA,No,0,"Every step right, every note true"
New York City Ballet (NYCB),1,NA,0,NY,No,41,06,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",5,lioncloud,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r209586580-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,06/01,06/09/14,"Saw a performance of ""A Midsummer NIght's Dream"" and was knocked out by both the the dancing and the costumes, which had been lovingly restore/recreated from the 1964 originals. My gut reaction at the end of the performance was ""WAIT! IT'S OVER????? NO! THEY CAN'T STOP NOW!!!!!!!!""",Solo,0,0,Dance,Rochester,NA,No,0,Breathtaking
New York City Ballet (NYCB),3,NA,0,Orissa,No,33,05,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",5,Amrita2013,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r191378871-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,12/01,01/19/14,"I came all the way to NYC to see the Nutcracker where it was first staged. I had only heard about the Nutcracker ballet as a child growing up and now I finally got to see it. The theatre, stage, artistes, costumes and performances were all exquiste. It brought me lot of joy and it was fascinating to watch small children watching the entire performance simply spellbound. I hope someday to come here again with my children. ** Note: I went in December 2012 but this review has been a little slow making it here ***",Solo,0,0,Dance,Bissamcuttack,NA,No,0,Coming again
New York City Ballet (NYCB),,NA,0,RJ,No,9,03,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",4,Roberto357,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r180476311-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,11/01,10/10/13,"I have seen the New York city Ballet a couple of times and in different places , lst time it was in Rio de Janeiro Municipal Theater. They are very creative and with a great sence of professional conceipt.",Solo,0,0,Dance,Rio de Janeiro,NA,No,0,besides a ballet group is also a great school
New York City Ballet (NYCB),1,NA,0,New York,No,13,05,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",5,michaelruns,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r151188533-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,10/01,02/01/13,"We in NYC are spoiled to have amazing ballet options available to us, and the NYC Ballet will not disappoint.",Solo,0,0,Dance,New York City,NA,No,0,city ballet at its finest
New York City Ballet (NYCB),2,NA,0,Colorado,No,37,06,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",5,California26,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r150294799-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,01/01,01/22/13,"This company features the extraordinary legacy of George Balanchine and Jerome Robbins, in a beautiful theater at Lincoln Center. New pricing puts some seats at $29, although you'll be on the sides, but still acceptable.",Solo,0,0,Dance,Denver,NA,No,0,"Great repertory, dancers"
New York City Ballet (NYCB),,NA,0,New York,No,19,03,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",3,travell0ver81,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r149068848-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,12/01,01/07/13,"I've lived in NYC all my life and I've never visited the ballet; so this holiday season I decided to take a trip to Lincoln Ctr. to see the Nutcracker. I was underwhelmed. It wasn't horrible, but I expected more. The first half was just so-so, the second half of the show following intermission was much better. If you're interested in seeing the show I say go for it, just to see what it's about. I think i'll try another show next time.",Solo,0,0,Dance,New York City,NA,No,0,it was ok
New York City Ballet (NYCB),,NA,0,New York,No,45,06,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",4,Mike594,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r355244204-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,01/01,03/14/16,The quality of the performances here are always as impressive as the setting. The whole place is well laid out and the staff are helpful. There is usually an interesting exhibition to see before the show. I just wish the drinks list was as impressive - other places manage better variety and quality. But it does not detract from what is a great evening out overall.,Group,0,0,Dance,New York City,NA,Yes,0,Always a great evening out
New York City Ballet (NYCB),,NA,0,New York,No,20,06,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",5,si101503,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r345088704-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,02/01,02/04/16,"We subscribe and, after exchanging some tickets to avoid ballets we don't care for or see ones we are especially interested in, we very rarely have a disappointing evening. Balanchine one of the less than handful of Protean geniuses of the last century in a league with Picasso and arguably Matisse. The range and his work still astonishes and some of the new works by living choreographers are interesting and rewarding, as are some non-Balanchine standards. The company's repertory and quality of dancing render this company without compare. Also, a good opportunity to dress up or not!",Group,0,0,Dance,New York City,NA,Yes,0,A great New York institution
New York City Ballet (NYCB),,NA,0,NA,No,,0,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",1,brandy t,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r343065039-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,01/01,01/27/16,"My husband bought us tickets for our anniversary! He bought them for a ballet 5 months ahead of time so that he could hand pick the most ideal seats. We were so excited and had been looking forward to seeing this ballet for months! The day of the ballet finally came (January 26) and there was a blizzard! But since they were non refundable tickets we decided to go anyway. We checked our email several times with no hint of the ballet being cancelled. It was not until we showed up 20 minutes early that we were told that it had been cancelled! You can imagine the frustrations! Then about 7 minutes after the show was to begin we got the email that the performance had been cancelled! I understand they do not control the weather, HOWEVER all of us not wanting to loose our money still showed up for the program! Then to top it all off today I tried to reschedule our ballet tickets. I was told I could pick the day and would have absolutely NO choice on my new seats! So a word to the wise.... DO NOT EXPECT ANY COURTESY FROM THIS COMPANY FOR ANY SITUATION! They do not cancel the program in a timely manner NOR make any accommodations for the extreme inconvience! Oh but you can always donate the value of your tickets to them in stead of rescheduling.....how very kind!!!!",Group,0,0,Dance,,NA,No,0,All Balanchine II
New York City Ballet (NYCB),,NA,0,NA,No,30,05,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",5,traveler9955,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r339426238-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,12/01,01/12/16,Ever since I saw this as a child at a much smaller venue I have wanted to see it performed by the best dancers in the US. It was still magical even as an adult. It was a fantastic evening and the dancers were amazing.,Group,0,0,Dance,Pennsylvania,NA,No,0,THE Nutcracker
New York City Ballet (NYCB),,NA,0,Georgia,No,32,06,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",5,ezellam,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r335691965-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,12/01,12/29/15,Took my mother to NYC specifically to enjoy The Nutcracker. It was just as good the 2nd year in a row for me. Went last year with my husband and boys on the 60th anniversary of George Balanchine's rendition. Favorite NYC holiday activity.,Group,0,0,Dance,Savannah,NA,Yes,0,Nutcracker 2nd year in a row
New York City Ballet (NYCB),,NA,0,Texas,No,68,06,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",5,Wesley C,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r334115587-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,12/01,12/20/15,I bought tickets to the Nutcracker yesterday as a surprise for the wife (she talked about it all fall). I didn't think that I would enjoy it but I did. The first act was a little slow but the second act was pretty amazing. I really enjoyed the music. The story is obviously a classic and was enjoyable. Highly recommend.,Group,0,0,Dance,Allen,NA,No,0,My First Ballet
New York City Ballet (NYCB),,NA,0,Canada,No,23,04,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",4,Janus S,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r315640911-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,09/01,10/02/15,"Orchestra lovely - ballet technically stunning, although we felt that (especially the first movement) lacked a bit of energy / passion - with the exception of some stunning performances (jester). The theatre itself is starting to feel a bit old and it is always disappointing to see about a third of the theatre-goers wearing jeans and sneakers. Champagne (or carbonated, sweet equivalent) served in plastic glasses definitely detracts. All felt a bit like the decline of the empire... Still a very good experience. I'm being somewhat critical perhaps, but only so because of the very high standards set in the past by the NYCB.",Group,0,0,Dance,Halifax,NA,No,0,Beautiful performance of Swan Lake but somewhat disappointed overall.
New York City Ballet (NYCB),,NA,0,Pennsylvania,No,31,06,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",5,Bluemango4me,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r314173019-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,09/01,09/27/15,"Excellent performance of Swan Lake. I was hoping for a curtain call of all the performers. (Including the children) for today's matinee. Everything was very enjoyable. The symphony, the dancers were amazing. Intermission offers beverages and snacks. Souvenirs are available to purchase as well. We had excellent seats that were very affordable. Can't wait to return to NYC for Nutcracker- it's worth the 2 hour drive!",Group,0,0,Dance,Bucks County,NA,No,0,Swan Lake was an amazing performance!
New York City Ballet (NYCB),,NA,0,Tennessee,No,861,06,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",5,Torte_Sue,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r313355487-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,09/01,09/24/15,The Lincoln Center is lovely and the dancers phenomenal. We were so impressed with the symphony as well. Tickets are much cheaper than For most Broadway productions and we had better and more comfortable seats. Wish the ballet was performing every time we came to NYC!,Group,0,0,Dance,Vonore,NA,No,0,"Beautiful, dramatic performance of the full-length Swan Lake"
New York City Ballet (NYCB),,NA,0,NY,No,3,03,"Lincoln Center's New York State Theater , 66th St. , New York City , NY",5,loretRochester_NY,https://www.tripadvisor.com//ShowUserReviews-g60763-d555633-r282207853-New_York_City_Ballet_NYCB-New_York_City_New_York.html#REVIEWS,05/01,06/22/15,"The first half of the program was nicely varied. Funerailles, Clearing Dawn, Varied Trio and This Bitter Earth introduced the music of several composers and choreographers with wonderful performances by the dancers. I was particularly delighted by Varied Trio (in four), the score and a performance by two dancers in an imaginative and uniquely touching pas-de-deux. The second half of the program, the Goldberg Variations with Jerome Robbins' choreography and the company's talented dancers, cannot be adequately praised. Amazing, wonderful, a synthesis of motion, sound, color, light, emotion and experience that was engaging and moving. None of us wanted the evening to end! We hadn't seen the City Ballet for a few years so it was fantastic to discover that the company, its repertoire, choreography, musical performance and programming is as magnificent as ever.",Group,0,0,Dance,Rochester,NA,No,0,A national treasure
The Copacabana Times Square,1,NA,0,New York,No,8,03,"268 West 47th Street , & 8th Avenue , New York City , NY 10036",4,jasian881,https://www.tripadvisor.com//ShowUserReviews-g60763-d2259073-r350685730-The_Copacabana_Times_Square-New_York_City_New_York.html#REVIEWS,02/01,02/24/16,"I've been to the Copa many times for salsa dancing. People have to understand this is a dance club. Don't expect any seating and services. Must check your coat and bag for $3.00, cannot bring your own water. There are lots of salsa dancers all different levels. You can bring your own dance partner or find one easily. The classes are very basic. Usually there are buffets early in the evening. If you get there early, the price is very reasonable (from free to $5.00 $10.00 depend on the activity). Best for group celebration. It's a great place to have fun!",Solo,0,0,Dance,New York City,NA,No,0,"Great spot for Salsa dancing, bring your dancing shoes"
The Copacabana Times Square,,NA,0,South Carolina,No,8,03,"268 West 47th Street , & 8th Avenue , New York City , NY 10036",1,Luv2travel2014d,https://www.tripadvisor.com//ShowUserReviews-g60763-d2259073-r337399897-The_Copacabana_Times_Square-New_York_City_New_York.html#REVIEWS,01/01,01/04/16,Went for New Years paid 260 for my fiancé and I. I was so excited to ring in the new year in what people say is the hottest club in NYC. After waiting OUTSIDE for almost 2 hours to get in because they say get there by 7 We got there at 6:15pm and went to one line then they made us got to another one. We waited in that one and did not get in until quarter after 8. ABSOLUTELY RIDICULOUS. Open bar 4 hours- well less then that since we got in AFTER 8. That was a joke anyway it was cheap liquor and they didn't even carry or make half decent drinks. Bartender continued ignoring us at the bar. It was said floors 2 and 3 for general admission. We were stuck on ONE floor. Not at all what I paid for. Also said we would get New Years stuff I got a headband and the husband didn't get anything because they ran out of hats. When my husband asked if he could go outside and smoke they said ask security and security said not right now. The buffet was the only thing that surprised me to be half decent. The food was good but it was cold because they opened the stuff around 8:20 but nobody could eat until 9. As I have read through the reviews I notice you thank people for their positive reviews but not so much the negative. So I don't expect anything back because I'm sure you won't respond. Word of mouth is strong. I will continue to tell people U DON'T GET WHAT YOU PAY FOR WHEN YOU BUY TICKETS TO THE NEW YEARS EVENT. Pictures from what lead me to purchase the event tickets here. So much false advertisement with this establishment and they give a pathetic I'm sorry you feel this way in response to negative reviews. Do not do anything about it. They requested I email and I did and after 4 days still NO RESPONSE! Poor customer service for a poor establishment!,Group,0,0,Dance,Myrtle Beach,NA,Yes,0,Horrible 0 stars
